house, casa
dog, perro
cat, gato
table, mesa
chair, silla
computer, computadora
phone, teléfono
book, libro
pen, pluma
pencil, lápiz
school, escuela
student, estudiante
teacher, profesor
apple, manzana
banana, plátano
orange, naranja
car, carro
bicycle, bicicleta
tree, árbol
flower, flor
sun, sol
moon, luna
star, estrella
water, agua
fire, fuego
earth, tierra
wind, viento
rain, lluvia
snow, nieve
ice, hielo
sky, cielo
cloud, nube
mountain, montaña
river, río
lake, lago
ocean, océano
beach, playa
bird, pájaro
fish, pez
homework, tarea
woman, mujer
town, pueblo
yes, sí
